sentence,modified_NP,extraction_type
1,subject-modifying,object-extracted
2,object-modifying,subject-extracted
3,object-modifying,subject-extracted
4,object-modifying,subject-extracted
5,object-modifying,subject-extracted
6,subject-modifying,subject-extracted
7,object-modifying,subject-extracted
8,object-modifying,object-extracted
9,object-modifying,subject-extracted
10,object-modifying,object-extracted
11,object-modifying,object-extracted
12,object-modifying,subject-extracted
13,object-modifying,subject-extracted
14,object-modifying,subject-extracted
15,object-modifying,subject-extracted
16,object-modifying,subject-extracted
17,object-modifying,subject-extracted
18,object-modifying,object-extracted
19,object-modifying,subject-extracted
20,object-modifying,subject-extracted
21,object-modifying,subject-extracted
22,object-modifying,subject-extracted
23,object-modifying,subject-extracted
24,object-modifying,subject-extracted
25,object-modifying,subject-extracted
26,object-modifying,subject-extracted
27,subject-modifying,subject-extracted
28,object-modifying,object-extracted
29,subject-modifying,subject-extracted
30,object-modifying,subject-extracted
31,object-modifying,subject-extracted
32,object-modifying,subject-extracted
33,subject-modifying,subject-extracted
34,object-modifying,subject-extracted
35,object-modifying,subject-extracted
36,object-modifying,subject-extracted
37,object-modifying,object-extracted
38,object-modifying,subject-extracted
39,object-modifying,subject-extracted
40,subject-modifying,object-extracted
41,subject-modifying,subject-extracted
42,object-modifying,subject-extracted
43,object-modifying,subject-extracted
44,object-modifying,object-extracted
45,object-modifying,subject-extracted
46,object-modifying,object-extracted
47,object-modifying,subject-extracted
48,object-modifying,subject-extracted
49,object-modifying,subject-extracted
50,object-modifying,object-extracted
51,object-modifying,subject-extracted
52,subject-modifying,object-extracted
53,subject-modifying,subject-extracted
54,object-modifying,subject-extracted
55,subject-modifying,object-extracted
56,object-modifying,object-extracted
57,object-modifying,object-extracted
58,object-modifying,object-extracted
59,object-modifying,subject-extracted
60,object-modifying,subject-extracted
61,subject-modifying,object-extracted
62,object-modifying,subject-extracted
63,object-modifying,subject-extracted
64,object-modifying,subject-extracted
65,subject-modifying,subject-extracted
66,object-modifying,subject-extracted
67,object-modifying,subject-extracted
68,subject-modifying,subject-extracted
69,object-modifying,subject-extracted
70,object-modifying,subject-extracted
71,object-modifying,subject-extracted
72,subject-modifying,subject-extracted
73,object-modifying,object-extracted
74,subject-modifying,subject-extracted
75,object-modifying,object-extracted
76,object-modifying,object-extracted
77,object-modifying,object-extracted
78,object-modifying,object-extracted
79,object-modifying,subject-extracted
80,object-modifying,subject-extracted
81,object-modifying,subject-extracted
82,object-modifying,subject-extracted
83,object-modifying,subject-extracted
84,subject-modifying,subject-extracted
85,object-modifying,object-extracted
86,subject-modifying,subject-extracted
87,subject-modifying,subject-extracted
88,object-modifying,subject-extracted
89,object-modifying,object-extracted
90,object-modifying,object-extracted
91,object-modifying,object-extracted
92,object-modifying,subject-extracted
93,object-modifying,subject-extracted
94,object-modifying,subject-extracted
95,object-modifying,subject-extracted
96,object-modifying,subject-extracted
97,object-modifying,subject-extracted
98,object-modifying,object-extracted
99,object-modifying,subject-extracted
100,subject-modifying,subject-extracted
101,object-modifying,subject-extracted
102,object-modifying,subject-extracted
103,object-modifying,subject-extracted
104,subject-modifying,subject-extracted
105,object-modifying,object-extracted
106,object-modifying,subject-extracted
107,object-modifying,subject-extracted
108,subject-modifying,object-extracted
109,object-modifying,subject-extracted
110,object-modifying,subject-extracted
111,object-modifying,subject-extracted
112,object-modifying,subject-extracted
113,object-modifying,object-extracted
114,object-modifying,object-extracted
115,subject-modifying,subject-extracted
116,object-modifying,subject-extracted
117,object-modifying,subject-extracted
118,object-modifying,subject-extracted
119,object-modifying,object-extracted
120,object-modifying,subject-extracted
121,object-modifying,object-extracted
122,object-modifying,object-extracted
123,object-modifying,subject-extracted
124,object-modifying,subject-extracted
125,object-modifying,subject-extracted
126,object-modifying,object-extracted
127,subject-modifying,object-extracted
128,subject-modifying,object-extracted
129,object-modifying,subject-extracted
130,object-modifying,subject-extracted
131,object-modifying,subject-extracted
132,object-modifying,subject-extracted
133,object-modifying,subject-extracted
134,object-modifying,subject-extracted
135,subject-modifying,subject-extracted
136,object-modifying,object-extracted
137,object-modifying,subject-extracted
138,object-modifying,subject-extracted
139,object-modifying,subject-extracted
140,object-modifying,subject-extracted
141,subject-modifying,object-extracted
142,object-modifying,subject-extracted
143,object-modifying,subject-extracted
144,object-modifying,object-extracted
145,object-modifying,object-extracted
146,object-modifying,subject-extracted
147,object-modifying,subject-extracted
148,subject-modifying,object-extracted
149,object-modifying,object-extracted
150,object-modifying,object-extracted
151,object-modifying,subject-extracted
152,object-modifying,object-extracted
153,subject-modifying,subject-extracted
154,object-modifying,object-extracted
155,object-modifying,subject-extracted
156,object-modifying,object-extracted
157,subject-modifying,object-extracted
158,object-modifying,subject-extracted
159,object-modifying,subject-extracted
160,object-modifying,subject-extracted
161,object-modifying,object-extracted
162,subject-modifying,subject-extracted
163,object-modifying,subject-extracted
164,object-modifying,subject-extracted
165,object-modifying,subject-extracted
166,subject-modifying,object-extracted
167,object-modifying,subject-extracted
168,object-modifying,subject-extracted
169,object-modifying,subject-extracted
170,object-modifying,object-extracted
171,subject-modifying,object-extracted
172,object-modifying,subject-extracted
173,subject-modifying,subject-extracted
174,object-modifying,subject-extracted
175,object-modifying,object-extracted
176,object-modifying,subject-extracted
177,object-modifying,subject-extracted
178,object-modifying,subject-extracted
179,subject-modifying,subject-extracted
180,object-modifying,subject-extracted
181,object-modifying,subject-extracted
182,object-modifying,subject-extracted
183,subject-modifying,object-extracted
184,object-modifying,object-extracted
185,object-modifying,subject-extracted
186,object-modifying,object-extracted
187,object-modifying,subject-extracted
188,object-modifying,subject-extracted
189,object-modifying,subject-extracted
190,object-modifying,object-extracted
191,object-modifying,subject-extracted
192,object-modifying,subject-extracted
193,subject-modifying,object-extracted
194,object-modifying,object-extracted
195,subject-modifying,subject-extracted
196,subject-modifying,subject-extracted
197,object-modifying,subject-extracted
198,object-modifying,subject-extracted
199,object-modifying,subject-extracted
200,subject-modifying,subject-extracted
201,object-modifying,subject-extracted
202,subject-modifying,subject-extracted
203,subject-modifying,subject-extracted
204,subject-modifying,object-extracted
205,object-modifying,object-extracted
206,object-modifying,object-extracted
207,subject-modifying,object-extracted
208,object-modifying,subject-extracted
209,object-modifying,subject-extracted
210,object-modifying,object-extracted
211,object-modifying,subject-extracted
212,object-modifying,object-extracted
213,subject-modifying,subject-extracted
214,subject-modifying,subject-extracted
215,object-modifying,object-extracted
216,object-modifying,object-extracted
217,object-modifying,object-extracted
218,object-modifying,subject-extracted
219,object-modifying,object-extracted
220,object-modifying,object-extracted
221,object-modifying,subject-extracted
222,object-modifying,object-extracted
223,object-modifying,object-extracted
224,subject-modifying,subject-extracted
225,object-modifying,subject-extracted
226,object-modifying,subject-extracted
227,object-modifying,subject-extracted
228,object-modifying,subject-extracted
229,object-modifying,object-extracted
230,object-modifying,subject-extracted
231,subject-modifying,object-extracted
232,object-modifying,object-extracted
233,object-modifying,subject-extracted
234,object-modifying,subject-extracted
235,object-modifying,object-extracted
236,object-modifying,object-extracted
237,object-modifying,subject-extracted
238,object-modifying,subject-extracted
239,object-modifying,subject-extracted
240,object-modifying,object-extracted
241,object-modifying,object-extracted
242,object-modifying,subject-extracted
243,object-modifying,subject-extracted
244,subject-modifying,subject-extracted
245,object-modifying,object-extracted
246,object-modifying,subject-extracted
247,object-modifying,subject-extracted
248,object-modifying,subject-extracted
249,object-modifying,object-extracted
250,object-modifying,subject-extracted
251,object-modifying,subject-extracted
252,object-modifying,subject-extracted
253,object-modifying,object-extracted
254,object-modifying,subject-extracted
255,object-modifying,object-extracted
256,object-modifying,subject-extracted
257,object-modifying,object-extracted
258,object-modifying,object-extracted
259,subject-modifying,subject-extracted
260,subject-modifying,object-extracted
261,object-modifying,object-extracted
262,object-modifying,subject-extracted
263,object-modifying,subject-extracted
264,subject-modifying,object-extracted
265,subject-modifying,object-extracted
266,object-modifying,object-extracted
267,subject-modifying,subject-extracted
268,object-modifying,subject-extracted
269,object-modifying,object-extracted
270,subject-modifying,subject-extracted
271,object-modifying,subject-extracted
272,object-modifying,object-extracted
273,object-modifying,subject-extracted
274,object-modifying,subject-extracted
275,object-modifying,subject-extracted
276,subject-modifying,subject-extracted
277,object-modifying,subject-extracted
278,subject-modifying,object-extracted
279,object-modifying,object-extracted
280,object-modifying,object-extracted
281,subject-modifying,subject-extracted
282,object-modifying,subject-extracted
283,object-modifying,subject-extracted
284,object-modifying,object-extracted
285,object-modifying,subject-extracted
286,object-modifying,subject-extracted
287,object-modifying,object-extracted
288,object-modifying,subject-extracted
289,object-modifying,object-extracted
290,subject-modifying,subject-extracted
291,object-modifying,subject-extracted
292,object-modifying,subject-extracted
293,subject-modifying,subject-extracted
294,object-modifying,subject-extracted
295,object-modifying,object-extracted
296,object-modifying,object-extracted
297,object-modifying,object-extracted
298,object-modifying,subject-extracted
299,object-modifying,subject-extracted
300,object-modifying,subject-extracted
301,object-modifying,subject-extracted
302,object-modifying,object-extracted
303,subject-modifying,subject-extracted
304,object-modifying,object-extracted
305,object-modifying,subject-extracted
306,object-modifying,object-extracted
307,object-modifying,subject-extracted
308,object-modifying,subject-extracted
309,object-modifying,subject-extracted
310,subject-modifying,subject-extracted
311,object-modifying,object-extracted
312,object-modifying,object-extracted
313,object-modifying,subject-extracted
314,object-modifying,subject-extracted
315,object-modifying,subject-extracted
316,object-modifying,subject-extracted
317,object-modifying,subject-extracted
318,object-modifying,subject-extracted
319,object-modifying,subject-extracted
320,subject-modifying,subject-extracted
321,object-modifying,subject-extracted
322,object-modifying,subject-extracted
323,object-modifying,subject-extracted
324,object-modifying,object-extracted
325,subject-modifying,subject-extracted
326,object-modifying,subject-extracted
327,object-modifying,subject-extracted
328,object-modifying,subject-extracted
329,object-modifying,object-extracted
330,object-modifying,subject-extracted
331,object-modifying,object-extracted
332,object-modifying,subject-extracted
333,object-modifying,subject-extracted
334,object-modifying,subject-extracted
335,object-modifying,subject-extracted
336,object-modifying,object-extracted
337,object-modifying,subject-extracted
338,object-modifying,subject-extracted
339,subject-modifying,subject-extracted
340,object-modifying,subject-extracted
341,object-modifying,subject-extracted
342,object-modifying,subject-extracted
343,object-modifying,subject-extracted
344,object-modifying,subject-extracted
345,object-modifying,object-extracted
346,subject-modifying,object-extracted
347,subject-modifying,object-extracted
348,object-modifying,subject-extracted
349,object-modifying,subject-extracted
350,object-modifying,subject-extracted
351,object-modifying,subject-extracted
352,object-modifying,subject-extracted
353,object-modifying,subject-extracted
354,subject-modifying,object-extracted
355,subject-modifying,subject-extracted
356,object-modifying,subject-extracted
357,object-modifying,object-extracted
358,object-modifying,subject-extracted
359,object-modifying,subject-extracted
360,object-modifying,subject-extracted
361,subject-modifying,subject-extracted
