subj,itemN,trial,error
1,1,44,0
1,2,40,0
1,3,25,0
1,4,7,0
1,5,39,0
1,6,81,0
1,7,63,1
1,8,74,0
1,9,78,0
1,10,59,0
1,11,57,1
1,12,104,0
1,13,100,0
1,14,99,0
1,15,103,1
1,16,97,0
1,17,72,0
1,18,23,0
1,19,27,0
1,20,9,1
1,21,34,1
1,22,28,0
1,23,20,1
1,24,58,1
1,25,42,0
1,26,85,1
1,27,50,0
1,28,30,0
1,29,36,1
1,30,19,1
1,31,43,1
1,32,79,1
1,33,54,1
1,34,68,0
1,35,76,1
1,36,65,0
1,37,75,0
1,38,94,0
1,39,110,1
1,40,93,1
1,41,105,1
1,42,66,0
1,43,89,1
1,44,13,0
1,45,37,1
1,46,10,1
1,47,32,0
1,48,18,0
1,49,12,0
1,50,73,1
1,51,48,1
1,52,84,0
1,53,31,0
1,54,26,1
1,55,52,1
1,56,24,0
1,57,46,1
1,58,55,0
1,59,60,0
1,60,82,1
1,61,67,1
1,62,56,0
1,63,109,1
1,64,96,0
1,65,101,0
1,66,88,0
1,67,108,0
1,68,71,0
1,69,87,0
1,70,6,1
1,71,35,0
1,72,21,0
1,73,15,0
1,74,16,1
1,75,83,0
1,76,33,1
1,77,70,0
1,78,86,0
1,79,47,0
1,80,14,1
1,81,45,1
1,82,38,1
1,83,80,1
1,84,64,0
1,85,69,0
1,86,77,1
1,87,53,1
1,88,62,1
1,89,106,0
1,90,98,1
1,91,102,0
1,92,107,0
1,93,90,0
1,94,61,0
1,95,92,0
1,96,8,0
1,97,41,0
1,98,29,0
1,99,22,0
1,100,17,0
2,1,75,1
2,2,67,1
2,3,89,1
2,4,102,1
2,5,71,1
2,6,36,1
2,7,18,1
2,8,9,1
2,9,30,1
2,10,26,1
2,11,19,1
2,12,47,1
2,13,59,1
2,14,39,0
2,15,45,0
2,16,49,0
2,17,28,0
2,18,92,0
2,19,94,0
2,20,107,0
2,21,66,0
2,22,106,0
2,23,109,0
2,24,15,0
2,25,84,0
2,26,31,0
2,27,78,1
2,28,77,1
2,29,80,1
2,30,96,1
2,31,69,1
2,32,29,1
2,33,11,1
2,34,21,1
2,35,13,0
2,36,22,1
2,37,27,1
2,38,55,1
2,39,42,1
2,40,61,0
2,41,48,0
2,42,10,0
2,43,53,0
2,44,90,0
2,45,74,0
2,46,93,1
2,47,63,0
2,48,91,0
2,49,101,0
2,50,6,0
2,51,68,0
2,52,34,0
2,53,85,1
2,54,97,1
2,55,82,1
2,56,105,1
2,57,83,1
2,58,12,1
2,59,7,1
2,60,32,1
2,61,14,1
2,62,8,1
2,63,51,1
2,64,58,1
2,65,43,1
2,66,60,0
