subj,freq,ptype,dur,itemN,trial,rt,error,prevRT,prevERR,prevYES,itemERR,subjERR,ID
1,HF,rel,66ms,1,40,456.2,0,483.8,no,yes,0,7.3,mm
1,HF,rel,66ms,2,37,492.4,0,546.9,no,yes,0,7.3,mm
1,HF,rel,66ms,3,147,430.6,1,506.2,no,no,12.5,7.3,mm
1,HF,rel,66ms,4,199,452,0,431.5,no,yes,0,7.3,mm
1,HF,rel,66ms,5,204,373.9,0,457.4,no,yes,0,7.3,mm
1,HF,rel,66ms,6,120,478,0,,yes,,0,7.3,mm
1,HF,rel,66ms,7,63,472.9,0,634.2,no,no,0,7.3,mm
1,HF,rel,66ms,8,65,453.4,0,605.3,no,yes,0,7.3,mm
1,HF,rel,66ms,9,29,501.9,0,682.1,no,no,12.5,7.3,mm
1,HF,rel,66ms,10,179,514.4,0,911.2,no,yes,12.5,7.3,mm
1,HF,rel,66ms,11,165,547.4,0,620,no,yes,0,7.3,mm
1,HF,rel,66ms,12,108,580,0,678.8,no,no,0,7.3,mm
1,LF,rel,66ms,25,54,529.1,0,534.1,no,no,0,7.3,mm
1,LF,rel,66ms,26,51,490.5,0,643.8,no,no,0,7.3,mm
1,LF,rel,66ms,27,154,425.8,1,493.4,no,no,50,7.3,mm
1,LF,rel,66ms,28,198,431.5,0,650.7,no,yes,0,7.3,mm
1,LF,rel,66ms,29,202,443.6,0,636.9,no,yes,0,7.3,mm
1,LF,rel,66ms,30,124,458.6,0,560.4,no,no,14.3,7.3,mm
1,LF,rel,66ms,31,61,725.7,0,689.2,no,yes,12.5,7.3,mm
1,LF,rel,66ms,32,84,572,0,553.8,no,yes,12.5,7.3,mm
1,LF,rel,66ms,33,13,661.9,0,1210.2,no,yes,0,7.3,mm
1,LF,rel,66ms,34,169,528.2,0,641.5,no,yes,0,7.3,mm
1,LF,rel,66ms,35,178,836.8,0,674,no,no,0,7.3,mm
1,LF,rel,66ms,36,88,585.4,0,551.2,no,yes,0,7.3,mm
1,HF,rel,33ms,13,58,622,0,563.1,no,no,0,7.3,mm
1,HF,rel,33ms,14,52,432.3,0,490.5,no,yes,0,7.3,mm
1,HF,rel,33ms,15,155,511.7,0,,yes,,0,7.3,mm
1,HF,rel,33ms,16,196,494.3,0,488.5,no,yes,0,7.3,mm
1,HF,rel,33ms,17,183,455.8,0,664.3,no,no,0,7.3,mm
1,HF,rel,33ms,18,113,546.5,0,476.7,no,no,0,7.3,mm
1,HF,rel,33ms,19,82,542.8,0,,yes,,0,7.3,mm
1,HF,rel,33ms,20,71,522.1,0,934.9,no,no,0,7.3,mm
1,HF,rel,33ms,21,36,546.9,0,735.1,no,no,0,7.3,mm
1,HF,rel,33ms,22,158,535.1,0,681.2,no,yes,0,7.3,mm
1,HF,rel,33ms,23,176,485.6,0,612.8,no,yes,0,7.3,mm
1,HF,rel,33ms,24,99,625.3,0,958.8,no,no,0,7.3,mm
1,LF,rel,33ms,37,48,549.9,0,746.1,no,yes,42.9,7.3,mm
1,LF,rel,33ms,38,45,678.3,0,530.8,no,yes,0,7.3,mm
1,LF,rel,33ms,39,143,524.9,0,527.7,no,no,0,7.3,mm
1,LF,rel,33ms,40,190,514.2,0,567.3,no,yes,0,7.3,mm
1,LF,rel,33ms,41,192,619.8,0,493.9,no,no,0,7.3,mm
1,LF,rel,33ms,42,119,698.2,1,525.1,no,no,25,7.3,mm
1,LF,rel,33ms,43,76,900.6,1,577.7,no,yes,12.5,7.3,mm
1,LF,rel,33ms,44,81,1039.9,1,556.3,no,yes,62.5,7.3,mm
1,LF,rel,33ms,45,26,547.5,0,1019.9,no,no,37.5,7.3,mm
1,LF,rel,33ms,46,164,620,0,526.9,no,yes,0,7.3,mm
1,LF,rel,33ms,47,171,555.3,0,651.8,no,yes,0,7.3,mm
1,LF,rel,33ms,48,103,836.8,0,869.1,no,no,0,7.3,mm
1,HF,unrel,66ms,49,38,576.9,0,492.4,no,yes,0,7.3,mm
1,HF,unrel,66ms,50,59,709.4,0,622,no,yes,0,7.3,mm
1,HF,unrel,66ms,51,139,582.1,0,898.9,no,yes,12.5,7.3,mm
1,HF,unrel,66ms,52,193,571.2,0,619.8,no,yes,0,7.3,mm
1,HF,unrel,66ms,53,201,636.9,0,545.8,no,no,12.5,7.3,mm
1,HF,unrel,66ms,54,116,549,0,964.7,no,no,0,7.3,mm
1,HF,unrel,66ms,55,72,493.8,0,522.1,no,yes,0,7.3,mm
1,HF,unrel,66ms,56,80,556.3,0,779.3,no,no,0,7.3,mm
1,HF,unrel,66ms,57,19,566.4,0,899.2,no,no,25,7.3,mm
1,HF,unrel,66ms,58,162,538.5,0,769.6,no,no,0,7.3,mm
1,HF,unrel,66ms,59,160,549.9,0,714.1,no,no,0,7.3,mm
1,HF,unrel,66ms,60,100,512.6,0,625.3,no,yes,0,7.3,mm
1,LF,unrel,66ms,73,44,530.8,0,543.8,no,yes,0,7.3,mm
1,LF,unrel,66ms,74,60,689.2,0,709.4,no,yes,12.5,7.3,mm
1,LF,unrel,66ms,75,156,516,0,511.7,no,yes,50,7.3,mm
1,LF,unrel,66ms,76,189,567.3,0,506.9,no,no,62.5,7.3,mm
1,LF,unrel,66ms,77,197,650.7,0,494.3,no,yes,0,7.3,mm
1,LF,unrel,66ms,78,131,687.7,0,532.7,no,no,12.5,7.3,mm
1,LF,unrel,66ms,79,64,605.3,0,472.9,no,yes,25,7.3,mm
1,LF,unrel,66ms,80,83,553.8,0,542.8,no,yes,0,7.3,mm
1,LF,unrel,66ms,81,16,555.2,0,552.9,no,no,37.5,7.3,mm
1,LF,unrel,66ms,82,170,651.8,0,528.2,no,yes,42.9,7.3,mm
1,LF,unrel,66ms,83,168,641.5,0,709.7,no,no,28.6,7.3,mm
1,LF,unrel,66ms,84,86,597.6,0,631,no,no,25,7.3,mm
1,HF,unrel,33ms,61,39,483.8,0,576.9,no,yes,0,7.3,mm
1,HF,unrel,33ms,62,43,543.8,0,706.6,no,no,12.5,7.3,mm
1,HF,unrel,33ms,63,138,836.8,0,534.5,no,no,12.5,7.3,mm
1,HF,unrel,33ms,64,187,493.1,0,527.9,no,no,0,7.3,mm
1,HF,unrel,33ms,65,195,488.5,0,774.1,no,yes,0,7.3,mm
1,HF,unrel,33ms,66,125,836.8,0,458.6,no,yes,25,7.3,mm
1,HF,unrel,33ms,67,73,707.6,0,493.8,no,yes,0,7.3,mm
1,HF,unrel,33ms,68,74,616.8,0,707.6,no,yes,0,7.3,mm
1,HF,unrel,33ms,69,24,678.7,0,579.7,no,no,12.5,7.3,mm
1,HF,unrel,33ms,70,163,526.9,0,538.5,no,yes,0,7.3,mm
1,HF,unrel,33ms,71,157,681.2,0,516,no,yes,12.5,7.3,mm
1,HF,unrel,33ms,72,97,623.4,0,539,no,no,0,7.3,mm
1,LF,unrel,33ms,85,46,492.3,1,678.3,no,yes,50,7.3,mm
1,LF,unrel,33ms,86,47,746.1,0,,yes,,0,7.3,mm
1,LF,unrel,33ms,87,136,836.8,0,954.2,no,no,12.5,7.3,mm
1,LF,unrel,33ms,88,203,457.4,0,443.6,no,yes,0,7.3,mm
1,LF,unrel,33ms,89,194,774.1,0,571.2,no,yes,12.5,7.3,mm
1,LF,unrel,33ms,90,121,451.9,1,478,no,yes,25,7.3,mm
1,LF,unrel,33ms,91,75,577.7,0,616.8,no,yes,0,7.3,mm
1,LF,unrel,33ms,92,67,800.4,0,665.7,no,no,0,7.3,mm
1,LF,unrel,33ms,93,14,549.2,0,661.9,no,yes,0,7.3,mm
1,LF,unrel,33ms,94,175,612.8,0,694.9,no,no,0,7.3,mm
1,LF,unrel,33ms,95,180,543.6,0,514.4,no,yes,12.5,7.3,mm
1,LF,unrel,33ms,96,87,551.2,0,597.6,no,yes,12.5,7.3,mm
2,HF,rel,66ms,1,103,348.1,0,628.7,no,no,0,5.2,cm
2,HF,rel,66ms,2,95,506.7,0,494.3,no,yes,0,5.2,cm
2,HF,rel,66ms,3,167,534.1,0,465.6,no,no,12.5,5.2,cm
2,HF,rel,66ms,4,16,422.9,0,474.5,no,yes,0,5.2,cm
2,HF,rel,66ms,5,24,334.9,0,548.6,no,no,0,5.2,cm
2,HF,rel,66ms,6,127,362.7,0,519,no,no,0,5.2,cm
2,HF,rel,66ms,7,195,432.2,0,451.7,no,yes,0,5.2,cm
2,HF,rel,66ms,8,194,451.7,0,578.1,no,yes,0,5.2,cm
2,HF,rel,66ms,9,47,466,0,702.1,no,no,12.5,5.2,cm
2,HF,rel,66ms,10,64,417.4,0,651.5,no,no,12.5,5.2,cm
2,HF,rel,66ms,11,73,640.9,0,517.1,no,yes,0,5.2,cm
2,HF,rel,66ms,12,135,392.7,0,583.8,no,yes,0,5.2,cm
2,LF,rel,66ms,25,97,437.1,0,432.6,no,yes,0,5.2,cm
2,LF,rel,66ms,26,105,406.5,0,474,no,no,0,5.2,cm
2,LF,rel,66ms,27,175,594.1,0,493.7,no,no,50,5.2,cm
2,LF,rel,66ms,28,20,432.7,0,404.3,no,yes,0,5.2,cm
2,LF,rel,66ms,29,26,363.5,0,603.4,no,no,0,5.2,cm
2,LF,rel,66ms,30,124,446.1,0,433.7,no,no,14.3,5.2,cm
2,LF,rel,66ms,31,192,396.2,0,,yes,,12.5,5.2,cm
2,LF,rel,66ms,32,189,468.1,0,511.6,no,yes,12.5,5.2,cm
2,LF,rel,66ms,33,51,635,0,627.6,no,no,0,5.2,cm
2,LF,rel,66ms,34,72,517.1,0,596.3,no,no,0,5.2,cm
2,LF,rel,66ms,35,79,715.8,0,592.1,no,yes,0,5.2,cm
2,LF,rel,66ms,36,136,485.1,0,392.7,no,yes,0,5.2,cm
2,HF,rel,33ms,13,94,494.3,0,448.4,no,no,0,5.2,cm
2,HF,rel,33ms,14,92,451.9,0,652.5,no,no,0,5.2,cm
2,HF,rel,33ms,15,178,409.7,0,641.6,no,no,0,5.2,cm
2,HF,rel,33ms,16,33,343.9,0,565,no,yes,0,5.2,cm
2,HF,rel,33ms,17,15,474.5,0,444.6,no,yes,0,5.2,cm
2,HF,rel,33ms,18,122,477.2,0,503.4,no,no,0,5.2,cm
2,HF,rel,33ms,19,204,438.7,0,521.6,no,no,0,5.2,cm
2,HF,rel,33ms,20,190,465.9,0,468.1,no,yes,0,5.2,cm
2,HF,rel,33ms,21,53,605.5,0,595.2,no,no,0,5.2,cm
2,HF,rel,33ms,22,82,597.9,0,488,no,no,0,5.2,cm
2,HF,rel,33ms,23,69,497.9,0,591.6,no,no,0,5.2,cm
2,HF,rel,33ms,24,142,715.8,0,598.4,no,yes,0,5.2,cm
2,LF,rel,33ms,37,85,428,0,627.2,no,no,42.9,5.2,cm
2,LF,rel,33ms,38,107,528.1,0,548.3,no,no,0,5.2,cm
2,LF,rel,33ms,39,159,507.1,0,501.5,no,no,0,5.2,cm
2,LF,rel,33ms,40,29,676.6,0,720,no,no,0,5.2,cm
2,LF,rel,33ms,41,17,436.8,0,422.9,no,yes,0,5.2,cm
2,LF,rel,33ms,42,115,591.6,0,815.3,no,no,25,5.2,cm
2,LF,rel,33ms,43,197,427.9,0,390,no,yes,12.5,5.2,cm
2,LF,rel,33ms,44,193,578.1,0,396.2,no,yes,62.5,5.2,cm
2,LF,rel,33ms,45,49,461.8,0,,yes,,37.5,5.2,cm
2,LF,rel,33ms,46,83,527.4,0,597.9,no,yes,0,5.2,cm
2,LF,rel,33ms,47,66,441.6,0,583.3,no,yes,0,5.2,cm
2,LF,rel,33ms,48,141,598.4,0,702.2,no,no,0,5.2,cm
2,HF,unrel,66ms,49,99,443.1,0,569.5,no,no,0,5.2,cm
2,HF,unrel,66ms,50,89,506.2,0,543.2,no,no,0,5.2,cm
2,HF,unrel,66ms,51,160,495.6,0,507.1,no,yes,12.5,5.2,cm
2,HF,unrel,66ms,52,18,537.3,0,436.8,no,yes,0,5.2,cm
2,HF,unrel,66ms,53,19,404.3,0,537.3,no,yes,12.5,5.2,cm
2,HF,unrel,66ms,54,117,446.3,0,441.9,no,no,0,5.2,cm
2,HF,unrel,66ms,55,186,496.2,0,419.7,no,no,0,5.2,cm
2,HF,unrel,66ms,56,187,572.6,0,496.2,no,yes,0,5.2,cm
2,HF,unrel,66ms,57,60,542.9,1,523.1,no,yes,25,5.2,cm
2,HF,unrel,66ms,58,70,502.4,0,497.9,no,yes,0,5.2,cm
2,HF,unrel,66ms,59,61,513.9,0,,yes,,0,5.2,cm
2,HF,unrel,66ms,60,143,494.8,0,815.9,no,yes,0,5.2,cm
2,LF,unrel,66ms,73,90,406.7,0,506.2,no,yes,0,5.2,cm
2,LF,unrel,66ms,74,87,590.3,0,417.9,no,yes,12.5,5.2,cm
2,LF,unrel,66ms,75,163,620.2,1,545.9,no,no,50,5.2,cm
2,LF,unrel,66ms,76,27,639.9,1,363.5,no,yes,62.5,5.2,cm
2,LF,unrel,66ms,77,22,456.2,0,533.2,no,no,0,5.2,cm
2,LF,unrel,66ms,78,111,439,0,506.6,no,no,12.5,5.2,cm
2,LF,unrel,66ms,79,198,504.4,0,427.9,no,yes,25,5.2,cm
2,LF,unrel,66ms,80,199,460.8,0,504.4,no,yes,0,5.2,cm
2,LF,unrel,66ms,81,59,523.1,0,527.4,no,no,37.5,5.2,cm
2,LF,unrel,66ms,82,78,592.1,0,541,no,no,42.9,5.2,cm
2,LF,unrel,66ms,83,74,655.6,0,640.9,no,yes,28.6,5.2,cm
2,LF,unrel,66ms,84,134,583.8,0,491.4,no,no,25,5.2,cm
2,HF,unrel,33ms,61,86,417.9,0,428,no,yes,0,5.2,cm
2,HF,unrel,33ms,62,101,430.9,0,480.9,no,yes,12.5,5.2,cm
2,HF,unrel,33ms,63,165,609.5,0,507.6,no,no,12.5,5.2,cm
2,HF,unrel,33ms,64,14,444.6,0,786.9,no,no,0,5.2,cm
2,HF,unrel,33ms,65,31,544.5,0,523.4,no,yes,0,5.2,cm
2,HF,unrel,33ms,66,132,559.7,0,598.1,no,no,25,5.2,cm
2,HF,unrel,33ms,67,202,477.1,0,553.4,no,yes,0,5.2,cm
2,HF,unrel,33ms,68,201,553.4,0,674.7,no,no,0,5.2,cm
2,HF,unrel,33ms,69,48,463.9,1,466,no,yes,12.5,5.2,cm
2,HF,unrel,33ms,70,75,471,0,655.6,no,yes,0,5.2,cm
2,HF,unrel,33ms,71,80,606.4,0,1080.9,no,yes,12.5,5.2,cm
2,HF,unrel,33ms,72,145,561.1,0,467.2,no,no,0,5.2,cm
2,LF,unrel,33ms,85,100,480.9,0,443.1,no,yes,50,5.2,cm
2,LF,unrel,33ms,86,96,432.6,0,506.7,no,yes,0,5.2,cm
2,LF,unrel,33ms,87,171,583.9,0,539.4,no,no,12.5,5.2,cm
2,LF,unrel,33ms,88,30,523.4,0,676.6,no,yes,0,5.2,cm
2,LF,unrel,33ms,89,32,565,0,544.5,no,yes,12.5,5.2,cm
2,LF,unrel,33ms,90,128,712.6,0,362.7,no,yes,25,5.2,cm
2,LF,unrel,33ms,91,188,511.6,0,572.6,no,yes,0,5.2,cm
2,LF,unrel,33ms,92,196,390,0,432.2,no,yes,0,5.2,cm
2,LF,unrel,33ms,93,55,556.9,0,503.1,no,no,0,5.2,cm
2,LF,unrel,33ms,94,65,583.3,0,417.4,no,yes,0,5.2,cm
2,LF,unrel,33ms,95,62,503,0,513.9,no,yes,12.5,5.2,cm
2,LF,unrel,33ms,96,155,461.8,1,663,no,no,12.5,5.2,cm
3,HF,rel,66ms,1,24,389.9,0,433.4,no,yes,0,17.7,dj
3,HF,rel,66ms,2,13,635.6,0,,yes,,0,17.7,dj
3,HF,rel,66ms,3,106,377.6,0,453.1,no,no,12.5,17.7,dj
3,HF,rel,66ms,4,145,343.5,0,427,no,no,0,17.7,dj
3,HF,rel,66ms,5,156,333.4,0,496.9,no,yes,0,17.7,dj
3,HF,rel,66ms,6,167,329.1,0,500.7,no,no,0,17.7,dj
3,HF,rel,66ms,7,63,569.3,0,436.9,no,yes,0,17.7,dj
3,HF,rel,66ms,8,76,373.2,0,546.2,no,no,0,17.7,dj
3,HF,rel,66ms,9,112,417.2,1,,yes,,12.5,17.7,dj
3,HF,rel,66ms,10,47,352.8,0,,yes,,12.5,17.7,dj
3,HF,rel,66ms,11,40,407.2,0,,yes,,0,17.7,dj
3,HF,rel,66ms,12,195,361.1,0,726,no,yes,0,17.7,dj
3,LF,rel,66ms,25,18,477.4,0,596.6,no,yes,0,17.7,dj
3,LF,rel,66ms,26,33,477.8,0,473.4,no,yes,0,17.7,dj
3,LF,rel,66ms,27,104,635.6,0,,yes,,50,17.7,dj
3,LF,rel,66ms,28,133,364.5,0,496.1,no,yes,0,17.7,dj
3,LF,rel,66ms,29,141,520.6,0,,yes,,0,17.7,dj
3,LF,rel,66ms,30,178,340.6,1,504.2,no,no,14.3,17.7,dj
3,LF,rel,66ms,31,72,396.9,0,400.4,no,no,12.5,17.7,dj
3,LF,rel,66ms,32,82,565.4,1,747.7,no,no,12.5,17.7,dj
3,LF,rel,66ms,33,132,496.1,0,435.6,no,no,0,17.7,dj
3,LF,rel,66ms,34,42,477.5,0,939.6,no,no,0,17.7,dj
3,LF,rel,66ms,35,53,467.4,0,463,no,yes,0,17.7,dj
3,LF,rel,66ms,36,196,437.5,0,361.1,no,yes,0,17.7,dj
3,HF,rel,33ms,13,32,473.4,0,459.5,no,yes,0,17.7,dj
3,HF,rel,33ms,14,20,433.2,0,,yes,,0,17.7,dj
3,HF,rel,33ms,15,86,448.6,0,,yes,,0,17.7,dj
3,HF,rel,33ms,16,152,413,0,423.2,no,yes,0,17.7,dj
3,HF,rel,33ms,17,148,438.2,0,408.4,no,yes,0,17.7,dj
3,HF,rel,33ms,18,169,419.5,0,,yes,,0,17.7,dj
3,HF,rel,33ms,19,68,496.2,0,515,no,no,0,17.7,dj
3,HF,rel,33ms,20,61,438.9,0,441.1,no,yes,0,17.7,dj
3,HF,rel,33ms,21,121,491.6,0,405.7,no,no,0,17.7,dj
3,HF,rel,33ms,22,52,463,0,417.1,no,yes,0,17.7,dj
3,HF,rel,33ms,23,51,417.1,0,641,no,no,0,17.7,dj
3,HF,rel,33ms,24,199,541,0,561.3,no,no,0,17.7,dj
3,LF,rel,33ms,37,19,475.3,1,477.4,no,yes,42.9,17.7,dj
3,LF,rel,33ms,38,21,455.1,0,433.2,no,yes,0,17.7,dj
3,LF,rel,33ms,39,99,419.8,0,461.9,no,no,0,17.7,dj
3,LF,rel,33ms,40,142,485.7,0,520.6,no,yes,0,17.7,dj
3,LF,rel,33ms,41,139,514,0,575,no,yes,0,17.7,dj
3,LF,rel,33ms,42,163,415.4,1,433.5,no,no,25,17.7,dj
3,LF,rel,33ms,43,70,428,0,486.1,no,yes,12.5,17.7,dj
3,LF,rel,33ms,44,79,487.9,0,514.7,no,no,62.5,17.7,dj
3,LF,rel,33ms,45,130,351.2,1,361.3,no,no,37.5,17.7,dj
3,LF,rel,33ms,46,43,483.4,0,477.5,no,yes,0,17.7,dj
3,LF,rel,33ms,47,55,445.7,0,407.9,no,yes,0,17.7,dj
3,LF,rel,33ms,48,203,430.8,0,464.9,no,no,0,17.7,dj
3,HF,unrel,66ms,49,31,459.5,0,439.1,no,yes,0,17.7,dj
3,HF,unrel,66ms,50,27,457,0,,yes,,0,17.7,dj
3,HF,unrel,66ms,51,88,369.5,0,485,no,no,12.5,17.7,dj
3,HF,unrel,66ms,52,135,446.9,0,450.4,no,no,0,17.7,dj
3,HF,unrel,66ms,53,147,408.4,0,475.9,no,yes,12.5,17.7,dj
3,HF,unrel,66ms,54,175,396.4,0,528.6,no,no,0,17.7,dj
3,HF,unrel,66ms,55,64,410.9,0,569.3,no,yes,0,17.7,dj
3,HF,unrel,66ms,56,65,415.3,0,410.9,no,yes,0,17.7,dj
3,HF,unrel,66ms,57,109,483.1,0,442.5,no,no,25,17.7,dj
3,HF,unrel,66ms,58,56,418.2,0,445.7,no,yes,0,17.7,dj
3,HF,unrel,66ms,59,54,407.9,0,467.4,no,yes,0,17.7,dj
3,HF,unrel,66ms,60,181,467.4,0,478.9,no,no,0,17.7,dj
3,LF,unrel,66ms,73,16,586.3,0,493.8,no,no,0,17.7,dj
