subj,freq,ptype,dur,itemN,rt,error,ID
1,HF,rel,66ms,1,456.2,0,mm
1,HF,rel,66ms,2,492.4,0,mm
1,HF,rel,66ms,3,430.6,1,mm
1,HF,rel,66ms,4,452,0,mm
1,HF,rel,66ms,5,373.9,0,mm
1,HF,rel,66ms,6,478,0,mm
1,HF,rel,66ms,7,472.9,0,mm
1,HF,rel,66ms,8,453.4,0,mm
1,HF,rel,66ms,9,501.9,0,mm
1,HF,rel,66ms,10,514.4,0,mm
1,HF,rel,66ms,11,547.4,0,mm
1,HF,rel,66ms,12,580,0,mm
1,LF,rel,66ms,25,529.1,0,mm
1,LF,rel,66ms,26,490.5,0,mm
1,LF,rel,66ms,27,425.8,1,mm
1,LF,rel,66ms,28,431.5,0,mm
1,LF,rel,66ms,29,443.6,0,mm
1,LF,rel,66ms,30,458.6,0,mm
1,LF,rel,66ms,31,725.7,0,mm
1,LF,rel,66ms,32,572,0,mm
1,LF,rel,66ms,33,661.9,0,mm
1,LF,rel,66ms,34,528.2,0,mm
1,LF,rel,66ms,35,836.8,0,mm
1,LF,rel,66ms,36,585.4,0,mm
1,HF,rel,33ms,13,622,0,mm
1,HF,rel,33ms,14,432.3,0,mm
1,HF,rel,33ms,15,511.7,0,mm
1,HF,rel,33ms,16,494.3,0,mm
1,HF,rel,33ms,17,455.8,0,mm
1,HF,rel,33ms,18,546.5,0,mm
1,HF,rel,33ms,19,542.8,0,mm
1,HF,rel,33ms,20,522.1,0,mm
1,HF,rel,33ms,21,546.9,0,mm
1,HF,rel,33ms,22,535.1,0,mm
1,HF,rel,33ms,23,485.6,0,mm
1,HF,rel,33ms,24,625.3,0,mm
1,LF,rel,33ms,37,549.9,0,mm
1,LF,rel,33ms,38,678.3,0,mm
1,LF,rel,33ms,39,524.9,0,mm
1,LF,rel,33ms,40,514.2,0,mm
1,LF,rel,33ms,41,619.8,0,mm
1,LF,rel,33ms,42,698.2,1,mm
1,LF,rel,33ms,43,900.6,1,mm
1,LF,rel,33ms,44,1039.9,1,mm
1,LF,rel,33ms,45,547.5,0,mm
1,LF,rel,33ms,46,620,0,mm
1,LF,rel,33ms,47,555.3,0,mm
1,LF,rel,33ms,48,836.8,0,mm
1,HF,unrel,66ms,49,576.9,0,mm
1,HF,unrel,66ms,50,709.4,0,mm
1,HF,unrel,66ms,51,582.1,0,mm
1,HF,unrel,66ms,52,571.2,0,mm
1,HF,unrel,66ms,53,636.9,0,mm
1,HF,unrel,66ms,54,549,0,mm
1,HF,unrel,66ms,55,493.8,0,mm
1,HF,unrel,66ms,56,556.3,0,mm
1,HF,unrel,66ms,57,566.4,0,mm
1,HF,unrel,66ms,58,538.5,0,mm
1,HF,unrel,66ms,59,549.9,0,mm
1,HF,unrel,66ms,60,512.6,0,mm
1,LF,unrel,66ms,73,530.8,0,mm
1,LF,unrel,66ms,74,689.2,0,mm
1,LF,unrel,66ms,75,516,0,mm
1,LF,unrel,66ms,76,567.3,0,mm
1,LF,unrel,66ms,77,650.7,0,mm
1,LF,unrel,66ms,78,687.7,0,mm
1,LF,unrel,66ms,79,605.3,0,mm
1,LF,unrel,66ms,80,553.8,0,mm
1,LF,unrel,66ms,81,555.2,0,mm
1,LF,unrel,66ms,82,651.8,0,mm
1,LF,unrel,66ms,83,641.5,0,mm
1,LF,unrel,66ms,84,597.6,0,mm
1,HF,unrel,33ms,61,483.8,0,mm
1,HF,unrel,33ms,62,543.8,0,mm
1,HF,unrel,33ms,63,836.8,0,mm
1,HF,unrel,33ms,64,493.1,0,mm
1,HF,unrel,33ms,65,488.5,0,mm
1,HF,unrel,33ms,66,836.8,0,mm
1,HF,unrel,33ms,67,707.6,0,mm
1,HF,unrel,33ms,68,616.8,0,mm
1,HF,unrel,33ms,69,678.7,0,mm
1,HF,unrel,33ms,70,526.9,0,mm
1,HF,unrel,33ms,71,681.2,0,mm
1,HF,unrel,33ms,72,623.4,0,mm
1,LF,unrel,33ms,85,492.3,1,mm
1,LF,unrel,33ms,86,746.1,0,mm
1,LF,unrel,33ms,87,836.8,0,mm
1,LF,unrel,33ms,88,457.4,0,mm
1,LF,unrel,33ms,89,774.1,0,mm
1,LF,unrel,33ms,90,451.9,1,mm
1,LF,unrel,33ms,91,577.7,0,mm
1,LF,unrel,33ms,92,800.4,0,mm
1,LF,unrel,33ms,93,549.2,0,mm
1,LF,unrel,33ms,94,612.8,0,mm
1,LF,unrel,33ms,95,543.6,0,mm
1,LF,unrel,33ms,96,551.2,0,mm
2,HF,rel,66ms,1,348.1,0,cm
2,HF,rel,66ms,2,506.7,0,cm
2,HF,rel,66ms,3,534.1,0,cm
2,HF,rel,66ms,4,422.9,0,cm
2,HF,rel,66ms,5,334.9,0,cm
2,HF,rel,66ms,6,362.7,0,cm
2,HF,rel,66ms,7,432.2,0,cm
2,HF,rel,66ms,8,451.7,0,cm
2,HF,rel,66ms,9,466,0,cm
2,HF,rel,66ms,10,417.4,0,cm
2,HF,rel,66ms,11,640.9,0,cm
2,HF,rel,66ms,12,392.7,0,cm
2,LF,rel,66ms,25,437.1,0,cm
2,LF,rel,66ms,26,406.5,0,cm
2,LF,rel,66ms,27,594.1,0,cm
2,LF,rel,66ms,28,432.7,0,cm
2,LF,rel,66ms,29,363.5,0,cm
2,LF,rel,66ms,30,446.1,0,cm
2,LF,rel,66ms,31,396.2,0,cm
2,LF,rel,66ms,32,468.1,0,cm
2,LF,rel,66ms,33,635,0,cm
2,LF,rel,66ms,34,517.1,0,cm
2,LF,rel,66ms,35,715.8,0,cm
2,LF,rel,66ms,36,485.1,0,cm
2,HF,rel,33ms,13,494.3,0,cm
2,HF,rel,33ms,14,451.9,0,cm
2,HF,rel,33ms,15,409.7,0,cm
2,HF,rel,33ms,16,343.9,0,cm
2,HF,rel,33ms,17,474.5,0,cm
2,HF,rel,33ms,18,477.2,0,cm
2,HF,rel,33ms,19,438.7,0,cm
2,HF,rel,33ms,20,465.9,0,cm
2,HF,rel,33ms,21,605.5,0,cm
2,HF,rel,33ms,22,597.9,0,cm
2,HF,rel,33ms,23,497.9,0,cm
2,HF,rel,33ms,24,715.8,0,cm
2,LF,rel,33ms,37,428,0,cm
2,LF,rel,33ms,38,528.1,0,cm
2,LF,rel,33ms,39,507.1,0,cm
2,LF,rel,33ms,40,676.6,0,cm
2,LF,rel,33ms,41,436.8,0,cm
2,LF,rel,33ms,42,591.6,0,cm
2,LF,rel,33ms,43,427.9,0,cm
2,LF,rel,33ms,44,578.1,0,cm
2,LF,rel,33ms,45,461.8,0,cm
2,LF,rel,33ms,46,527.4,0,cm
2,LF,rel,33ms,47,441.6,0,cm
2,LF,rel,33ms,48,598.4,0,cm
2,HF,unrel,66ms,49,443.1,0,cm
2,HF,unrel,66ms,50,506.2,0,cm
2,HF,unrel,66ms,51,495.6,0,cm
2,HF,unrel,66ms,52,537.3,0,cm
2,HF,unrel,66ms,53,404.3,0,cm
2,HF,unrel,66ms,54,446.3,0,cm
2,HF,unrel,66ms,55,496.2,0,cm
2,HF,unrel,66ms,56,572.6,0,cm
2,HF,unrel,66ms,57,542.9,1,cm
2,HF,unrel,66ms,58,502.4,0,cm
2,HF,unrel,66ms,59,513.9,0,cm
2,HF,unrel,66ms,60,494.8,0,cm
2,LF,unrel,66ms,73,406.7,0,cm
2,LF,unrel,66ms,74,590.3,0,cm
2,LF,unrel,66ms,75,620.2,1,cm
2,LF,unrel,66ms,76,639.9,1,cm
2,LF,unrel,66ms,77,456.2,0,cm
2,LF,unrel,66ms,78,439,0,cm
2,LF,unrel,66ms,79,504.4,0,cm
2,LF,unrel,66ms,80,460.8,0,cm
2,LF,unrel,66ms,81,523.1,0,cm
2,LF,unrel,66ms,82,592.1,0,cm
2,LF,unrel,66ms,83,655.6,0,cm
2,LF,unrel,66ms,84,583.8,0,cm
2,HF,unrel,33ms,61,417.9,0,cm
2,HF,unrel,33ms,62,430.9,0,cm
